тип_массива,размер,алгоритм,threshold,время_мкс
reversed,4700,merge,0,84
reversed,4700,hybrid,5,65
reversed,4700,hybrid,10,63
reversed,4700,hybrid,20,64
reversed,4700,hybrid,30,61
reversed,4700,hybrid,50,68
almost,4700,merge,0,98
almost,4700,hybrid,5,81
almost,4700,hybrid,10,74
almost,4700,hybrid,20,70
almost,4700,hybrid,30,68
almost,4700,hybrid,50,64
random,4800,merge,0,129
random,4800,hybrid,5,107
random,4800,hybrid,10,106
random,4800,hybrid,20,101
random,4800,hybrid,30,93
random,4800,hybrid,50,101
reversed,4800,merge,0,86
reversed,4800,hybrid,5,69
reversed,4800,hybrid,10,65
reversed,4800,hybrid,20,66
reversed,4800,hybrid,30,64
reversed,4800,hybrid,50,68
almost,4800,merge,0,101
almost,4800,hybrid,5,80
almost,4800,hybrid,10,74
almost,4800,hybrid,20,69
almost,4800,hybrid,30,71
almost,4800,hybrid,50,66
random,4900,merge,0,132
random,4900,hybrid,5,110
random,4900,hybrid,10,107
random,4900,hybrid,20,103
random,4900,hybrid,30,95
random,4900,hybrid,50,103
reversed,4900,merge,0,89
reversed,4900,hybrid,5,69
reversed,4900,hybrid,10,69
reversed,4900,hybrid,20,68
reversed,4900,hybrid,30,65
reversed,4900,hybrid,50,71
almost,4900,merge,0,106
almost,4900,hybrid,5,83
almost,4900,hybrid,10,77
almost,4900,hybrid,20,73
almost,4900,hybrid,30,71
almost,4900,hybrid,50,68
random,5000,merge,0,136
random,5000,hybrid,5,113
random,5000,hybrid,10,109
random,5000,hybrid,20,106
random,5000,hybrid,30,98
random,5000,hybrid,50,107
reversed,5000,merge,0,90
reversed,5000,hybrid,5,71
reversed,5000,hybrid,10,68
reversed,5000,hybrid,20,69
reversed,5000,hybrid,30,62
reversed,5000,hybrid,50,69
almost,5000,merge,0,110
almost,5000,hybrid,5,85
almost,5000,hybrid,10,80
almost,5000,hybrid,20,75
almost,5000,hybrid,30,72
almost,5000,hybrid,50,69
random,5100,merge,0,140
random,5100,hybrid,5,115
random,5100,hybrid,10,111
random,5100,hybrid,20,109
random,5100,hybrid,30,101
random,5100,hybrid,50,109
reversed,5100,merge,0,93
reversed,5100,hybrid,5,70
reversed,5100,hybrid,10,70
reversed,5100,hybrid,20,68
reversed,5100,hybrid,30,68
reversed,5100,hybrid,50,68
almost,5100,merge,0,109
almost,5100,hybrid,5,89
almost,5100,hybrid,10,82
almost,5100,hybrid,20,79
almost,5100,hybrid,30,76
almost,5100,hybrid,50,70
random,5200,merge,0,140
random,5200,hybrid,5,117
random,5200,hybrid,10,114
random,5200,hybrid,20,111
random,5200,hybrid,30,106
random,5200,hybrid,50,111
reversed,5200,merge,0,95
reversed,5200,hybrid,5,71
reversed,5200,hybrid,10,73
reversed,5200,hybrid,20,74
reversed,5200,hybrid,30,73
reversed,5200,hybrid,50,75
almost,5200,merge,0,109
almost,5200,hybrid,5,88
almost,5200,hybrid,10,83
almost,5200,hybrid,20,79
almost,5200,hybrid,30,78
almost,5200,hybrid,50,70
random,5300,merge,0,145
random,5300,hybrid,5,122
random,5300,hybrid,10,118
random,5300,hybrid,20,115
random,5300,hybrid,30,111
random,5300,hybrid,50,114
reversed,5300,merge,0,97
reversed,5300,hybrid,5,78
reversed,5300,hybrid,10,75
reversed,5300,hybrid,20,70
reversed,5300,hybrid,30,72
reversed,5300,hybrid,50,76
almost,5300,merge,0,114
almost,5300,hybrid,5,93
almost,5300,hybrid,10,87
almost,5300,hybrid,20,84
almost,5300,hybrid,30,80
almost,5300,hybrid,50,73
random,5400,merge,0,149
random,5400,hybrid,5,130
random,5400,hybrid,10,120
random,5400,hybrid,20,117
random,5400,hybrid,30,116
random,5400,hybrid,50,116
reversed,5400,merge,0,100
reversed,5400,hybrid,5,80
reversed,5400,hybrid,10,78
reversed,5400,hybrid,20,72
reversed,5400,hybrid,30,77
reversed,5400,hybrid,50,75
almost,5400,merge,0,118
almost,5400,hybrid,5,96
almost,5400,hybrid,10,92
almost,5400,hybrid,20,87
almost,5400,hybrid,30,82
almost,5400,hybrid,50,76
random,5500,merge,0,151
random,5500,hybrid,5,130
random,5500,hybrid,10,124
random,5500,hybrid,20,121
random,5500,hybrid,30,118
random,5500,hybrid,50,118
reversed,5500,merge,0,99
reversed,5500,hybrid,5,83
reversed,5500,hybrid,10,78
reversed,5500,hybrid,20,78
reversed,5500,hybrid,30,78
reversed,5500,hybrid,50,78
almost,5500,merge,0,118
almost,5500,hybrid,5,97
almost,5500,hybrid,10,91
almost,5500,hybrid,20,86
almost,5500,hybrid,30,82
almost,5500,hybrid,50,74
random,5600,merge,0,155
random,5600,hybrid,5,133
random,5600,hybrid,10,130
random,5600,hybrid,20,124
random,5600,hybrid,30,121
random,5600,hybrid,50,121
reversed,5600,merge,0,105
reversed,5600,hybrid,5,86
reversed,5600,hybrid,10,79
reversed,5600,hybrid,20,79
reversed,5600,hybrid,30,81
reversed,5600,hybrid,50,84
almost,5600,merge,0,120
almost,5600,hybrid,5,101
almost,5600,hybrid,10,93
almost,5600,hybrid,20,88
almost,5600,hybrid,30,82
almost,5600,hybrid,50,75
random,5700,merge,0,159
random,5700,hybrid,5,136
random,5700,hybrid,10,132
random,5700,hybrid,20,128
random,5700,hybrid,30,123
random,5700,hybrid,50,124
reversed,5700,merge,0,107
reversed,5700,hybrid,5,87
reversed,5700,hybrid,10,81
reversed,5700,hybrid,20,82
reversed,5700,hybrid,30,82
reversed,5700,hybrid,50,92
almost,5700,merge,0,123
almost,5700,hybrid,5,103
almost,5700,hybrid,10,97
almost,5700,hybrid,20,91
almost,5700,hybrid,30,86
